i,j,out_idx,sign,expected_out_idx,expected_sign,rule,matches_expected,xor_idx,xor_channel_match,handed_alignment_match
0,0,0,1,0,1,left_identity,True,,,True
0,1,1,1,1,1,left_identity,True,,,True
0,2,2,1,2,1,left_identity,True,,,True
0,3,3,1,3,1,left_identity,True,,,True
0,4,4,1,4,1,left_identity,True,,,True
0,5,5,1,5,1,left_identity,True,,,True
0,6,6,1,6,1,left_identity,True,,,True
0,7,7,1,7,1,left_identity,True,,,True
1,0,1,1,1,1,right_identity,True,,,True
1,1,0,-1,0,-1,imag_square,True,,,True
1,2,3,1,3,1,distinct_imag,True,3,True,True
1,3,2,-1,2,-1,distinct_imag,True,2,True,True
1,4,5,1,5,1,distinct_imag,True,5,True,True
1,5,4,-1,4,-1,distinct_imag,True,4,True,True
1,6,7,-1,7,-1,distinct_imag,True,7,True,True
1,7,6,1,6,1,distinct_imag,True,6,True,True
2,0,2,1,2,1,right_identity,True,,,True
2,1,3,-1,3,-1,distinct_imag,True,3,True,True
2,2,0,-1,0,-1,imag_square,True,,,True
2,3,1,1,1,1,distinct_imag,True,1,True,True
2,4,6,1,6,1,distinct_imag,True,6,True,True
2,5,7,1,7,1,distinct_imag,True,7,True,True
2,6,4,-1,4,-1,distinct_imag,True,4,True,True
2,7,5,-1,5,-1,distinct_imag,True,5,True,True
3,0,3,1,3,1,right_identity,True,,,True
3,1,2,1,2,1,distinct_imag,True,2,True,True
3,2,1,-1,1,-1,distinct_imag,True,1,True,True
3,3,0,-1,0,-1,imag_square,True,,,True
3,4,7,1,7,1,distinct_imag,True,7,True,True
3,5,6,-1,6,-1,distinct_imag,True,6,True,True
3,6,5,1,5,1,distinct_imag,True,5,True,True
3,7,4,-1,4,-1,distinct_imag,True,4,True,True
4,0,4,1,4,1,right_identity,True,,,True
4,1,5,-1,5,-1,distinct_imag,True,5,True,True
4,2,6,-1,6,-1,distinct_imag,True,6,True,True
4,3,7,-1,7,-1,distinct_imag,True,7,True,True
4,4,0,-1,0,-1,imag_square,True,,,True
4,5,1,1,1,1,distinct_imag,True,1,True,True
4,6,2,1,2,1,distinct_imag,True,2,True,True
4,7,3,1,3,1,distinct_imag,True,3,True,True
5,0,5,1,5,1,right_identity,True,,,True
5,1,4,1,4,1,distinct_imag,True,4,True,True
5,2,7,-1,7,-1,distinct_imag,True,7,True,True
5,3,6,1,6,1,distinct_imag,True,6,True,True
5,4,1,-1,1,-1,distinct_imag,True,1,True,True
5,5,0,-1,0,-1,imag_square,True,,,True
5,6,3,-1,3,-1,distinct_imag,True,3,True,True
5,7,2,1,2,1,distinct_imag,True,2,True,True
6,0,6,1,6,1,right_identity,True,,,True
6,1,7,1,7,1,distinct_imag,True,7,True,True
6,2,4,1,4,1,distinct_imag,True,4,True,True
6,3,5,-1,5,-1,distinct_imag,True,5,True,True
6,4,2,-1,2,-1,distinct_imag,True,2,True,True
6,5,3,1,3,1,distinct_imag,True,3,True,True
6,6,0,-1,0,-1,imag_square,True,,,True
6,7,1,-1,1,-1,distinct_imag,True,1,True,True
7,0,7,1,7,1,right_identity,True,,,True
7,1,6,-1,6,-1,distinct_imag,True,6,True,True
7,2,5,1,5,1,distinct_imag,True,5,True,True
7,3,4,1,4,1,distinct_imag,True,4,True,True
7,4,3,-1,3,-1,distinct_imag,True,3,True,True
7,5,2,-1,2,-1,distinct_imag,True,2,True,True
7,6,1,1,1,1,distinct_imag,True,1,True,True
7,7,0,-1,0,-1,imag_square,True,,,True
