pair_id,triad_a,triad_b,cycle_found,cycle_start,period,steps_recorded,period_gt_4
"(1, 2, 3)-(1, 4, 5)","(1, 2, 3)","(1, 4, 5)",True,2,4,7,False
"(1, 2, 3)-(1, 6, 7)","(1, 2, 3)","(1, 6, 7)",True,5,16,22,True
"(1, 2, 3)-(2, 4, 6)","(1, 2, 3)","(2, 4, 6)",True,4,4,9,False
"(1, 2, 3)-(2, 5, 7)","(1, 2, 3)","(2, 5, 7)",True,11,8,20,True
"(1, 2, 3)-(3, 4, 7)","(1, 2, 3)","(3, 4, 7)",True,5,4,10,False
"(1, 2, 3)-(3, 5, 6)","(1, 2, 3)","(3, 5, 6)",True,10,16,27,True
"(1, 4, 5)-(1, 6, 7)","(1, 4, 5)","(1, 6, 7)",True,3,2,6,False
"(1, 4, 5)-(2, 4, 6)","(1, 4, 5)","(2, 4, 6)",True,4,4,9,False
"(1, 4, 5)-(2, 5, 7)","(1, 4, 5)","(2, 5, 7)",True,5,4,10,False
"(1, 4, 5)-(3, 4, 7)","(1, 4, 5)","(3, 4, 7)",True,3,8,12,True
"(1, 4, 5)-(3, 5, 6)","(1, 4, 5)","(3, 5, 6)",True,3,8,12,True
"(1, 6, 7)-(2, 4, 6)","(1, 6, 7)","(2, 4, 6)",True,5,4,10,False
"(1, 6, 7)-(2, 5, 7)","(1, 6, 7)","(2, 5, 7)",True,3,4,8,False
"(1, 6, 7)-(3, 4, 7)","(1, 6, 7)","(3, 4, 7)",True,3,8,12,True
"(1, 6, 7)-(3, 5, 6)","(1, 6, 7)","(3, 5, 6)",True,3,8,12,True
"(2, 4, 6)-(2, 5, 7)","(2, 4, 6)","(2, 5, 7)",True,3,2,6,False
"(2, 4, 6)-(3, 4, 7)","(2, 4, 6)","(3, 4, 7)",True,3,4,8,False
"(2, 4, 6)-(3, 5, 6)","(2, 4, 6)","(3, 5, 6)",True,3,4,8,False
"(2, 5, 7)-(3, 4, 7)","(2, 5, 7)","(3, 4, 7)",True,3,4,8,False
"(2, 5, 7)-(3, 5, 6)","(2, 5, 7)","(3, 5, 6)",True,3,4,8,False
"(3, 4, 7)-(3, 5, 6)","(3, 4, 7)","(3, 5, 6)",True,3,2,6,False
