motif_id,triad,policy_id,cycle_found,cycle_start,period,steps_recorded,support_closure_within_motif_plus_e0,is_fano_line,is_stable_candidate
fano_line_l1,"(1, 2, 3)",internal_oriented_alternating,True,0,2,3,True,True,True
fano_line_l1,"(1, 2, 3)",internal_oriented_left_only,True,0,1,2,True,True,True
fano_line_l1,"(1, 2, 3)",internal_oriented_right_only,True,0,2,3,True,True,True
fano_line_l1,"(1, 2, 3)",vacuum_left_e7,True,0,4,5,False,True,True
fano_line_l1,"(1, 2, 3)",vacuum_right_e7,True,0,4,5,False,True,True
fano_line_l1,"(1, 2, 3)",temporal_first_internal_alternating_left,True,0,4,5,False,True,True
fano_line_l1,"(1, 2, 3)",internal_alternating_then_temporal_left,True,0,4,5,False,True,True
fano_line_l2,"(1, 4, 5)",internal_oriented_alternating,True,0,2,3,True,True,True
fano_line_l2,"(1, 4, 5)",internal_oriented_left_only,True,0,1,2,True,True,True
fano_line_l2,"(1, 4, 5)",internal_oriented_right_only,True,0,2,3,True,True,True
fano_line_l2,"(1, 4, 5)",vacuum_left_e7,True,0,4,5,False,True,True
fano_line_l2,"(1, 4, 5)",vacuum_right_e7,True,0,4,5,False,True,True
fano_line_l2,"(1, 4, 5)",temporal_first_internal_alternating_left,True,0,4,5,False,True,True
fano_line_l2,"(1, 4, 5)",internal_alternating_then_temporal_left,True,0,4,5,False,True,True
fano_line_l3,"(1, 7, 6)",internal_oriented_alternating,True,0,2,3,True,True,True
fano_line_l3,"(1, 7, 6)",internal_oriented_left_only,True,0,1,2,True,True,True
fano_line_l3,"(1, 7, 6)",internal_oriented_right_only,True,0,2,3,True,True,True
fano_line_l3,"(1, 7, 6)",vacuum_left_e7,True,0,4,5,True,True,True
fano_line_l3,"(1, 7, 6)",vacuum_right_e7,True,0,4,5,True,True,True
fano_line_l3,"(1, 7, 6)",temporal_first_internal_alternating_left,True,0,4,5,True,True,True
fano_line_l3,"(1, 7, 6)",internal_alternating_then_temporal_left,True,0,4,5,True,True,True
fano_line_l4,"(2, 4, 6)",internal_oriented_alternating,True,0,2,3,True,True,True
fano_line_l4,"(2, 4, 6)",internal_oriented_left_only,True,0,1,2,True,True,True
fano_line_l4,"(2, 4, 6)",internal_oriented_right_only,True,0,2,3,True,True,True
fano_line_l4,"(2, 4, 6)",vacuum_left_e7,True,0,4,5,False,True,True
fano_line_l4,"(2, 4, 6)",vacuum_right_e7,True,0,4,5,False,True,True
fano_line_l4,"(2, 4, 6)",temporal_first_internal_alternating_left,True,0,4,5,False,True,True
fano_line_l4,"(2, 4, 6)",internal_alternating_then_temporal_left,True,0,4,5,False,True,True
fano_line_l5,"(2, 5, 7)",internal_oriented_alternating,True,0,2,3,True,True,True
fano_line_l5,"(2, 5, 7)",internal_oriented_left_only,True,0,1,2,True,True,True
fano_line_l5,"(2, 5, 7)",internal_oriented_right_only,True,0,2,3,True,True,True
fano_line_l5,"(2, 5, 7)",vacuum_left_e7,True,0,4,5,True,True,True
fano_line_l5,"(2, 5, 7)",vacuum_right_e7,True,0,4,5,True,True,True
fano_line_l5,"(2, 5, 7)",temporal_first_internal_alternating_left,True,0,2,3,True,True,True
fano_line_l5,"(2, 5, 7)",internal_alternating_then_temporal_left,True,0,2,3,True,True,True
