source_motif_id,perturbation_id,attractor_rep_id,attractor_class,period,cycle_found
left_spinor_electron_ideal,left_hit_e1,novel::04f57cdb232f,novel,4,True
left_spinor_electron_ideal,left_hit_e2,novel::c851216139a7,novel,4,True
left_spinor_electron_ideal,left_hit_e3,novel::780a5427ef4d,novel,4,True
left_spinor_electron_ideal,left_hit_e4,novel::780a5427ef4d,novel,4,True
left_spinor_electron_ideal,left_hit_e5,novel::c851216139a7,novel,4,True
left_spinor_electron_ideal,left_hit_e6,novel::04f57cdb232f,novel,4,True
left_spinor_electron_ideal,left_hit_e7,left_spinor_electron_ideal,known,4,True
left_spinor_electron_ideal,right_hit_e1,novel::4a811db90e36,novel,4,True
left_spinor_electron_ideal,right_hit_e2,novel::48c85c2b9f55,novel,4,True
left_spinor_electron_ideal,right_hit_e3,novel::56501b585dd8,novel,4,True
left_spinor_electron_ideal,right_hit_e4,novel::56501b585dd8,novel,4,True
left_spinor_electron_ideal,right_hit_e5,novel::48c85c2b9f55,novel,4,True
left_spinor_electron_ideal,right_hit_e6,novel::4a811db90e36,novel,4,True
left_spinor_electron_ideal,right_hit_e7,left_spinor_electron_ideal,known,4,True
right_spinor_electron_ideal,left_hit_e1,novel::4a811db90e36,novel,4,True
right_spinor_electron_ideal,left_hit_e2,novel::48c85c2b9f55,novel,4,True
right_spinor_electron_ideal,left_hit_e3,novel::56501b585dd8,novel,4,True
right_spinor_electron_ideal,left_hit_e4,novel::56501b585dd8,novel,4,True
right_spinor_electron_ideal,left_hit_e5,novel::48c85c2b9f55,novel,4,True
right_spinor_electron_ideal,left_hit_e6,novel::4a811db90e36,novel,4,True
right_spinor_electron_ideal,left_hit_e7,right_spinor_electron_ideal,known,4,True
right_spinor_electron_ideal,right_hit_e1,novel::04f57cdb232f,novel,4,True
right_spinor_electron_ideal,right_hit_e2,novel::c851216139a7,novel,4,True
right_spinor_electron_ideal,right_hit_e3,novel::780a5427ef4d,novel,4,True
right_spinor_electron_ideal,right_hit_e4,novel::780a5427ef4d,novel,4,True
right_spinor_electron_ideal,right_hit_e5,novel::c851216139a7,novel,4,True
right_spinor_electron_ideal,right_hit_e6,novel::04f57cdb232f,novel,4,True
right_spinor_electron_ideal,right_hit_e7,right_spinor_electron_ideal,known,4,True
sd_double_12,left_hit_e1,su_double_13,known,4,True
sd_double_12,left_hit_e2,su_double_23,known,4,True
sd_double_12,left_hit_e3,novel::8f3eadb376bc,novel,4,True
sd_double_12,left_hit_e4,novel::8f3eadb376bc,novel,4,True
sd_double_12,left_hit_e5,su_double_23,known,4,True
sd_double_12,left_hit_e6,su_double_13,known,4,True
sd_double_12,left_hit_e7,sd_double_12,known,4,True
sd_double_12,right_hit_e1,su_double_13,known,4,True
sd_double_12,right_hit_e2,su_double_23,known,4,True
sd_double_12,right_hit_e3,novel::a210f9d946ec,novel,4,True
sd_double_12,right_hit_e4,novel::a210f9d946ec,novel,4,True
sd_double_12,right_hit_e5,su_double_23,known,4,True
sd_double_12,right_hit_e6,su_double_13,known,4,True
sd_double_12,right_hit_e7,sd_double_12,known,4,True
sd_double_13,left_hit_e1,su_double_12,known,4,True
sd_double_13,left_hit_e2,novel::8f3eadb376bc,novel,4,True
sd_double_13,left_hit_e3,su_double_23,known,4,True
sd_double_13,left_hit_e4,su_double_23,known,4,True
sd_double_13,left_hit_e5,novel::8f3eadb376bc,novel,4,True
sd_double_13,left_hit_e6,su_double_12,known,4,True
sd_double_13,left_hit_e7,sd_double_13,known,4,True
sd_double_13,right_hit_e1,su_double_12,known,4,True
sd_double_13,right_hit_e2,novel::a210f9d946ec,novel,4,True
sd_double_13,right_hit_e3,su_double_23,known,4,True
sd_double_13,right_hit_e4,su_double_23,known,4,True
sd_double_13,right_hit_e5,novel::a210f9d946ec,novel,4,True
sd_double_13,right_hit_e6,su_double_12,known,4,True
sd_double_13,right_hit_e7,sd_double_13,known,4,True
sd_double_23,left_hit_e1,novel::8f3eadb376bc,novel,4,True
sd_double_23,left_hit_e2,su_double_12,known,4,True
sd_double_23,left_hit_e3,su_double_13,known,4,True
sd_double_23,left_hit_e4,su_double_13,known,4,True
sd_double_23,left_hit_e5,su_double_12,known,4,True
sd_double_23,left_hit_e6,novel::8f3eadb376bc,novel,4,True
sd_double_23,left_hit_e7,sd_double_23,known,4,True
sd_double_23,right_hit_e1,novel::a210f9d946ec,novel,4,True
sd_double_23,right_hit_e2,su_double_12,known,4,True
sd_double_23,right_hit_e3,su_double_13,known,4,True
sd_double_23,right_hit_e4,su_double_13,known,4,True
sd_double_23,right_hit_e5,su_double_12,known,4,True
sd_double_23,right_hit_e6,novel::a210f9d946ec,novel,4,True
sd_double_23,right_hit_e7,sd_double_23,known,4,True
sd_single_1,left_hit_e1,novel::c85f462d2564,novel,4,True
