case_id,tick,distance_past,distance_future,distance_delta,ticks_until_next_interaction,pair_kind_on_arrival,impulse_event,accumulated_impulse,left_u1_charge_base8,right_u1_charge_base8
electron_electron_same_sign,0,1,1,0,1,,0,0,-10,-10
electron_electron_same_sign,1,1,2,1,2,repulsive,1,1,0,0
electron_electron_same_sign,2,2,3,1,1,,0,1,10,10
electron_electron_same_sign,3,3,5,2,5,repulsive,1,2,0,0
electron_electron_same_sign,4,5,7,2,4,,0,2,-10,-10
electron_electron_same_sign,5,7,9,2,3,,0,2,0,0
electron_electron_same_sign,6,9,11,2,2,,0,2,10,10
electron_electron_same_sign,7,11,13,2,1,,0,2,0,0
electron_electron_same_sign,8,13,15,2,15,neutral,0,2,-10,-10
electron_electron_same_sign,9,15,17,2,14,,0,2,0,0
electron_electron_same_sign,10,17,19,2,13,,0,2,10,10
electron_electron_same_sign,11,19,21,2,12,,0,2,0,0
electron_electron_same_sign,12,21,23,2,11,,0,2,-10,-10
electron_electron_same_sign,13,23,25,2,10,,0,2,0,0
electron_electron_same_sign,14,25,27,2,9,,0,2,10,10
electron_electron_same_sign,15,27,29,2,8,,0,2,0,0
electron_electron_same_sign,16,29,31,2,7,,0,2,-10,-10
electron_electron_same_sign,17,31,33,2,6,,0,2,0,0
electron_electron_same_sign,18,33,35,2,5,,0,2,10,10
electron_electron_same_sign,19,35,37,2,4,,0,2,0,0
electron_electron_same_sign,20,37,39,2,3,,0,2,-10,-10
electron_electron_same_sign,21,39,41,2,2,,0,2,0,0
electron_electron_same_sign,22,41,43,2,1,,0,2,10,10
electron_electron_same_sign,23,43,46,3,46,repulsive,1,3,0,0
electron_electron_same_sign,24,46,49,3,45,,0,3,-10,-10
electron_positron_opposite_sign,0,1,1,0,1,,0,0,-10,10
electron_positron_opposite_sign,1,1,1,0,1,attractive,-1,-1,0,0
electron_positron_opposite_sign,2,1,1,0,1,neutral,0,-1,10,-10
electron_positron_opposite_sign,3,1,1,0,1,attractive,-1,-2,0,0
electron_positron_opposite_sign,4,1,1,0,1,neutral,0,-2,-10,10
electron_positron_opposite_sign,5,1,1,0,1,attractive,-1,-3,0,0
electron_positron_opposite_sign,6,1,1,0,1,neutral,0,-3,10,-10
electron_positron_opposite_sign,7,1,1,0,1,attractive,-1,-4,0,0
electron_positron_opposite_sign,8,1,1,0,1,neutral,0,-4,-10,10
electron_positron_opposite_sign,9,1,1,0,1,attractive,-1,-5,0,0
electron_positron_opposite_sign,10,1,1,0,1,neutral,0,-5,10,-10
electron_positron_opposite_sign,11,1,1,0,1,attractive,-1,-6,0,0
electron_positron_opposite_sign,12,1,1,0,1,neutral,0,-6,-10,10
electron_positron_opposite_sign,13,1,1,0,1,attractive,-1,-7,0,0
electron_positron_opposite_sign,14,1,1,0,1,neutral,0,-7,10,-10
electron_positron_opposite_sign,15,1,1,0,1,attractive,-1,-8,0,0
electron_positron_opposite_sign,16,1,1,0,1,neutral,0,-8,-10,10
electron_positron_opposite_sign,17,1,1,0,1,attractive,-1,-9,0,0
electron_positron_opposite_sign,18,1,1,0,1,neutral,0,-9,10,-10
electron_positron_opposite_sign,19,1,1,0,1,attractive,-1,-10,0,0
electron_positron_opposite_sign,20,1,1,0,1,neutral,0,-10,-10,10
electron_positron_opposite_sign,21,1,1,0,1,attractive,-1,-11,0,0
electron_positron_opposite_sign,22,1,1,0,1,neutral,0,-11,10,-10
electron_positron_opposite_sign,23,1,1,0,1,attractive,-1,-12,0,0
electron_positron_opposite_sign,24,1,1,0,1,neutral,0,-12,-10,10
