q_id,family_tag,assoc_activity
0,A16_basis_signed_unit,0.0
1,B112_line_plus_e000_halfsum,0.8925
2,B112_line_plus_e000_halfsum,0.8925
3,B112_line_plus_e000_halfsum,0.8925
4,B112_line_plus_e000_halfsum,0.8925
5,B112_line_plus_e000_halfsum,0.8925
6,B112_line_plus_e000_halfsum,0.8925
7,B112_line_plus_e000_halfsum,0.8925
8,B112_line_plus_e000_halfsum,0.8925
9,B112_line_plus_e000_halfsum,0.8925
10,B112_line_plus_e000_halfsum,0.8925
11,B112_line_plus_e000_halfsum,0.8925
12,B112_line_plus_e000_halfsum,0.8925
13,B112_line_plus_e000_halfsum,0.8925
14,B112_line_plus_e000_halfsum,0.8925
15,B112_line_plus_e000_halfsum,0.8925
16,B112_line_plus_e000_halfsum,0.8925
17,B112_line_plus_e000_halfsum,0.8925
18,B112_line_plus_e000_halfsum,0.8925
19,B112_line_plus_e000_halfsum,0.8925
20,B112_line_plus_e000_halfsum,0.8925
21,B112_line_plus_e000_halfsum,0.8925
22,B112_line_plus_e000_halfsum,0.8925
23,B112_line_plus_e000_halfsum,0.8925
24,B112_line_plus_e000_halfsum,0.8925
25,B112_line_plus_e000_halfsum,0.8925
26,B112_line_plus_e000_halfsum,0.8925
27,B112_line_plus_e000_halfsum,0.8925
28,B112_line_plus_e000_halfsum,0.8925
29,B112_line_plus_e000_halfsum,0.8925
30,B112_line_plus_e000_halfsum,0.8925
31,B112_line_plus_e000_halfsum,0.8925
32,B112_line_plus_e000_halfsum,0.8925
33,B112_line_plus_e000_halfsum,0.8925
34,B112_line_plus_e000_halfsum,0.8925
35,B112_line_plus_e000_halfsum,0.8925
36,B112_line_plus_e000_halfsum,0.8925
37,B112_line_plus_e000_halfsum,0.8925
38,B112_line_plus_e000_halfsum,0.8925
39,B112_line_plus_e000_halfsum,0.8925
40,B112_line_plus_e000_halfsum,0.8925
41,B112_line_plus_e000_halfsum,0.8925
42,B112_line_plus_e000_halfsum,0.8925
43,B112_line_plus_e000_halfsum,0.8925
44,B112_line_plus_e000_halfsum,0.8925
45,B112_line_plus_e000_halfsum,0.8925
46,B112_line_plus_e000_halfsum,0.8925
47,B112_line_plus_e000_halfsum,0.8925
48,B112_line_plus_e000_halfsum,0.8925
49,B112_line_plus_e000_halfsum,0.8925
50,B112_line_plus_e000_halfsum,0.8925
51,B112_line_plus_e000_halfsum,0.8925
52,B112_line_plus_e000_halfsum,0.8925
53,B112_line_plus_e000_halfsum,0.8925
54,B112_line_plus_e000_halfsum,0.8925
55,B112_line_plus_e000_halfsum,0.8925
56,B112_line_plus_e000_halfsum,0.8925
57,A16_basis_signed_unit,0.925
58,C112_complement_halfsum,0.925
59,C112_complement_halfsum,0.925
60,C112_complement_halfsum,0.925
61,C112_complement_halfsum,0.925
62,C112_complement_halfsum,0.925
63,C112_complement_halfsum,0.925
64,C112_complement_halfsum,0.925
65,C112_complement_halfsum,0.925
66,C112_complement_halfsum,0.925
67,C112_complement_halfsum,0.925
68,C112_complement_halfsum,0.925
69,C112_complement_halfsum,0.925
70,C112_complement_halfsum,0.925
71,C112_complement_halfsum,0.925
