clock_id,period,rep_id,canonical_cycle
0,2,0,239|0
1,2,239,239|1440
2,2,239,239|1679
3,3,1,239|1|56
4,3,2,239|2|55
5,3,3,239|3|54
6,3,4,239|4|53
7,3,5,239|5|52
8,3,6,239|6|51
9,3,7,239|7|50
10,3,8,239|8|49
11,3,9,239|9|48
12,3,10,239|10|47
13,3,11,239|11|46
14,3,12,239|12|45
15,3,13,239|13|44
16,3,14,239|14|43
17,3,15,239|15|42
18,3,16,239|16|41
19,3,17,239|17|40
20,3,18,239|18|39
21,3,19,239|19|38
22,3,20,239|20|37
23,3,21,239|21|36
24,3,22,239|22|35
25,3,23,239|23|34
26,3,24,239|24|33
27,3,25,239|25|32
28,3,26,239|26|31
29,3,27,239|27|30
30,3,28,239|28|29
31,3,239,239|961|1976
32,3,239,239|962|1975
33,3,239,239|963|1974
34,3,239,239|964|1973
35,3,239,239|965|1972
36,3,239,239|966|1971
37,3,239,239|967|1970
38,3,239,239|968|1969
39,3,239,239|969|1968
40,3,239,239|970|1967
41,3,239,239|971|1966
42,3,239,239|972|1965
43,3,239,239|973|1964
44,3,239,239|974|1963
45,3,239,239|975|1962
46,3,239,239|976|1961
47,3,239,239|977|1960
48,3,239,239|978|1959
49,3,239,239|979|1958
50,3,239,239|980|1957
51,3,239,239|981|1956
52,3,239,239|982|1955
53,3,239,239|983|1954
54,3,239,239|984|1953
55,3,239,239|985|1952
56,3,239,239|986|1951
57,3,239,239|987|1950
58,3,239,239|988|1949
59,3,239,239|989|1948
60,3,239,239|990|1947
61,3,239,239|991|1946
62,3,239,239|992|1945
63,3,239,239|993|1944
64,3,239,239|994|1943
65,3,239,239|995|1942
66,3,239,239|996|1941
67,3,239,239|997|1940
68,3,239,239|998|1939
69,3,239,239|999|1938
70,3,239,239|1000|1937
71,3,239,239|1001|1936
72,3,239,239|1002|1935
73,3,239,239|1003|1934
74,3,239,239|1004|1933
75,3,239,239|1005|1932
76,3,239,239|1006|1931
77,3,239,239|1007|1930
78,3,239,239|1008|1929
79,3,239,239|1009|1928
80,3,239,239|1010|1927
81,3,239,239|1011|1926
82,3,239,239|1012|1925
83,3,239,239|1013|1924
84,3,239,239|1014|1923
85,3,239,239|1015|1922
86,3,239,239|1016|1921
87,3,239,239|1199|2159
88,4,0,239|57|0|182
89,4,0,239|58|0|181
90,4,0,239|59|0|180
91,4,0,239|60|0|179
92,4,0,239|61|0|178
93,4,0,239|62|0|177
94,4,0,239|63|0|176
95,4,0,239|64|0|175
96,4,0,239|65|0|174
97,4,0,239|66|0|173
98,4,0,239|67|0|172
99,4,0,239|68|0|171
100,4,0,239|69|0|170
101,4,0,239|70|0|169
102,4,0,239|71|0|168
103,4,0,239|72|0|167
104,4,0,239|73|0|166
105,4,0,239|74|0|165
106,4,0,239|75|0|164
107,4,0,239|76|0|163
108,4,0,239|77|0|162
109,4,0,239|78|0|161
110,4,0,239|79|0|160
111,4,0,239|80|0|159
112,4,0,239|81|0|158
113,4,0,239|82|0|157
114,4,0,239|83|0|156
115,4,0,239|84|0|155
116,4,0,239|85|0|154
117,4,0,239|86|0|153
118,4,0,239|87|0|152
119,4,0,239|88|0|151
120,4,0,239|89|0|150
121,4,0,239|90|0|149
