panel_id,g_from,g_to,probability,count
P0_quick_fixed_sync_axial6,0,0,0.0,0
P0_quick_fixed_sync_axial6,0,1,0.5021318465070514,3062
P0_quick_fixed_sync_axial6,0,2,0.4978681534929485,3036
P0_quick_fixed_sync_axial6,1,0,0.6523545706371191,2826
P0_quick_fixed_sync_axial6,1,1,0.0,0
P0_quick_fixed_sync_axial6,1,2,0.3476454293628809,1506
P0_quick_fixed_sync_axial6,2,0,0.6702054004154165,2904
P0_quick_fixed_sync_axial6,2,1,0.3297945995845834,1429
P0_quick_fixed_sync_axial6,2,2,0.0,0
P1_quick_fixed_paircon_axial6,0,0,0.0,0
P1_quick_fixed_paircon_axial6,0,1,0.5155354781842221,4679
P1_quick_fixed_paircon_axial6,0,2,0.48446452181577787,4397
P1_quick_fixed_paircon_axial6,1,0,0.4952815183967766,4671
P1_quick_fixed_paircon_axial6,1,1,0.0,0
P1_quick_fixed_paircon_axial6,1,2,0.5047184816032234,4760
P1_quick_fixed_paircon_axial6,2,0,0.4796131443015716,4364
P1_quick_fixed_paircon_axial6,2,1,0.5203868556984284,4735
P1_quick_fixed_paircon_axial6,2,2,0.0,0
