clock_id,period,rep_id,canonical_cycle
0,2,0,239|0
1,2,239,239|480
2,2,239,239|719
3,3,1,239|1|56
4,3,2,239|2|55
5,3,3,239|3|54
6,3,4,239|4|53
7,3,5,239|5|52
8,3,6,239|6|51
9,3,7,239|7|50
10,3,8,239|8|49
11,3,9,239|9|48
12,3,10,239|10|47
13,3,11,239|11|46
14,3,12,239|12|45
15,3,13,239|13|44
16,3,14,239|14|43
17,3,15,239|15|42
18,3,16,239|16|41
19,3,17,239|17|40
20,3,18,239|18|39
21,3,19,239|19|38
22,3,20,239|20|37
23,3,21,239|21|36
24,3,22,239|22|35
25,3,23,239|23|34
26,3,24,239|24|33
27,3,25,239|25|32
28,3,26,239|26|31
29,3,27,239|27|30
30,3,28,239|28|29
31,4,0,239|57|0|182
32,4,0,239|58|0|181
33,4,0,239|59|0|180
34,4,0,239|60|0|179
35,4,0,239|61|0|178
36,4,0,239|62|0|177
37,4,0,239|63|0|176
38,4,0,239|64|0|175
39,4,0,239|65|0|174
40,4,0,239|66|0|173
41,4,0,239|67|0|172
42,4,0,239|68|0|171
43,4,0,239|69|0|170
44,4,0,239|70|0|169
45,4,0,239|71|0|168
46,4,0,239|72|0|167
47,4,0,239|73|0|166
48,4,0,239|74|0|165
49,4,0,239|75|0|164
50,4,0,239|76|0|163
51,4,0,239|77|0|162
52,4,0,239|78|0|161
53,4,0,239|79|0|160
54,4,0,239|80|0|159
55,4,0,239|81|0|158
56,4,0,239|82|0|157
57,4,0,239|83|0|156
58,4,0,239|84|0|155
59,4,0,239|85|0|154
60,4,0,239|86|0|153
61,4,0,239|87|0|152
62,4,0,239|88|0|151
63,4,0,239|89|0|150
64,4,0,239|90|0|149
65,4,0,239|91|0|148
66,4,0,239|92|0|147
67,4,0,239|93|0|146
68,4,0,239|94|0|145
69,4,0,239|95|0|144
70,4,0,239|96|0|143
71,4,0,239|97|0|142
72,4,0,239|98|0|141
73,4,0,239|99|0|140
74,4,0,239|100|0|139
75,4,0,239|101|0|138
76,4,0,239|102|0|137
77,4,0,239|103|0|136
78,4,0,239|104|0|135
79,4,0,239|105|0|134
80,4,0,239|106|0|133
81,4,0,239|107|0|132
82,4,0,239|108|0|131
83,4,0,239|109|0|130
84,4,0,239|110|0|129
85,4,0,239|111|0|128
86,4,0,239|112|0|127
87,4,0,239|113|0|126
88,4,0,239|114|0|125
89,4,0,239|115|0|124
90,4,0,239|116|0|123
91,4,0,239|117|0|122
92,4,0,239|118|0|121
93,4,0,239|119|0|120
94,4,0,239|537|0|662
95,4,0,239|538|0|661
96,4,0,239|539|0|660
97,4,0,239|540|0|659
98,4,0,239|541|0|658
99,4,0,239|542|0|657
100,4,0,239|543|0|656
