global_seed,top_kernel_candidate_id,top_channel_policy_id,top_score_total,top_gates_passed
1337,K0_cube26_uniform_v1,uniform_all,0.6847358493924326,5
106066,K1_cube26_det_cycle_v1,deterministic_cycle_v1,0.5632353484324628,4
210795,K2_cube26_stochastic_v1,stochastic_gating_v1,0.6656117525370528,5
315524,K1_cube26_det_cycle_v1,deterministic_cycle_v1,0.585457570654685,4
420253,K1_cube26_det_cycle_v1,deterministic_cycle_v1,0.6767724385311574,5
524982,K0_cube26_uniform_v1,uniform_all,0.6180691827257658,4
629711,K1_cube26_det_cycle_v1,deterministic_cycle_v1,0.6875852800612121,5
734440,K0_cube26_uniform_v1,uniform_all,0.6514025160590992,5
839169,K1_cube26_det_cycle_v1,deterministic_cycle_v1,0.6767724385311574,5
943898,K2_cube26_stochastic_v1,stochastic_gating_v1,0.7064753635440464,5
1048627,K1_cube26_det_cycle_v1,deterministic_cycle_v1,0.5875852800612121,4
1153356,K2_cube26_stochastic_v1,stochastic_gating_v1,0.7791167574505239,5
1258085,K2_cube26_stochastic_v1,stochastic_gating_v1,0.6441254161549372,5
1362814,K0_cube26_uniform_v1,uniform_all,0.6514025160590992,5
1467543,K1_cube26_det_cycle_v1,deterministic_cycle_v1,0.6767724385311574,5
1572272,K0_cube26_uniform_v1,uniform_all,0.5847358493924325,4
1677001,K2_cube26_stochastic_v1,stochastic_gating_v1,0.6545321741405429,5
1781730,K1_cube26_det_cycle_v1,deterministic_cycle_v1,0.5878835496422685,4
1886459,K2_cube26_stochastic_v1,stochastic_gating_v1,0.6781869260080731,5
1991188,K2_cube26_stochastic_v1,stochastic_gating_v1,0.6666741041483354,5
2095917,K0_cube26_uniform_v1,uniform_all,0.6180691827257658,4
2200646,K1_cube26_det_cycle_v1,deterministic_cycle_v1,0.7101057718644908,5
2305375,K0_cube26_uniform_v1,uniform_all,0.6180691827257658,5
2410104,K0_cube26_uniform_v1,uniform_all,0.6847358493924326,5
2514833,K0_cube26_uniform_v1,uniform_all,0.5847358493924325,4
2619562,K2_cube26_stochastic_v1,stochastic_gating_v1,0.7144112556486717,5
2724291,K2_cube26_stochastic_v1,stochastic_gating_v1,0.6622298678405077,5
2829020,K0_cube26_uniform_v1,uniform_all,0.6143191827257659,4
2933749,K1_cube26_det_cycle_v1,deterministic_cycle_v1,0.5767724385311574,4
3038478,K0_cube26_uniform_v1,uniform_all,0.6180691827257658,4
3143207,K2_cube26_stochastic_v1,stochastic_gating_v1,0.6200796309723865,5
3247936,K1_cube26_det_cycle_v1,deterministic_cycle_v1,0.6434391051978241,5
3352665,K2_cube26_stochastic_v1,stochastic_gating_v1,0.6793634685597923,5
3457394,K1_cube26_det_cycle_v1,deterministic_cycle_v1,0.6434391051978241,5
3562123,K0_cube26_uniform_v1,uniform_all,0.6476525160590992,5
3666852,K1_cube26_det_cycle_v1,deterministic_cycle_v1,0.6209186133945455,5
3771581,K2_cube26_stochastic_v1,stochastic_gating_v1,0.6145015583871754,4
3876310,K1_cube26_det_cycle_v1,deterministic_cycle_v1,0.6434391051978241,5
3981039,K1_cube26_det_cycle_v1,deterministic_cycle_v1,0.6542519467278788,5
4085768,K2_cube26_stochastic_v1,stochastic_gating_v1,0.5953689342167156,4
4190497,K2_cube26_stochastic_v1,stochastic_gating_v1,0.6619126840713166,5
4295226,K0_cube26_uniform_v1,uniform_all,0.5847358493924325,4
4399955,K1_cube26_det_cycle_v1,deterministic_cycle_v1,0.6542519467278788,5
4504684,K2_cube26_stochastic_v1,stochastic_gating_v1,0.6423231263760362,5
4609413,K0_cube26_uniform_v1,uniform_all,0.6180691827257658,5
4714142,K2_cube26_stochastic_v1,stochastic_gating_v1,0.5950026335017788,4
4818871,K1_cube26_det_cycle_v1,deterministic_cycle_v1,0.6434391051978241,5
4923600,K0_cube26_uniform_v1,uniform_all,0.6809858493924326,4
5028329,K2_cube26_stochastic_v1,stochastic_gating_v1,0.6506987871746357,5
5133058,K0_cube26_uniform_v1,uniform_all,0.6847358493924325,5
5237787,K1_cube26_det_cycle_v1,deterministic_cycle_v1,0.6767724385311574,5
5342516,K0_cube26_uniform_v1,uniform_all,0.6180691827257658,5
5447245,K2_cube26_stochastic_v1,stochastic_gating_v1,0.6866087126932489,5
5551974,K2_cube26_stochastic_v1,stochastic_gating_v1,0.6513245815660371,5
5656703,K0_cube26_uniform_v1,uniform_all,0.6476525160590992,5
5761432,K2_cube26_stochastic_v1,stochastic_gating_v1,0.6244090403916167,5
5866161,K0_cube26_uniform_v1,uniform_all,0.6847358493924326,5
5970890,K1_cube26_det_cycle_v1,deterministic_cycle_v1,0.6434391051978241,4
6075619,K0_cube26_uniform_v1,uniform_all,0.6847358493924325,5
6180348,K0_cube26_uniform_v1,uniform_all,0.6180691827257658,5
6285077,K1_cube26_det_cycle_v1,deterministic_cycle_v1,0.6767724385311574,5
6389806,K1_cube26_det_cycle_v1,deterministic_cycle_v1,0.6101057718644908,4
6494535,K1_cube26_det_cycle_v1,deterministic_cycle_v1,0.6434391051978241,5
6599264,K2_cube26_stochastic_v1,stochastic_gating_v1,0.6605055625690764,5
