bundle_id,clock_id,period,rep_id,generator_id,core_order3_id,bundle4_ids,bundle4_seed_id
0,369,12,1,241,1,241|1|721|481,B4_241_1_721_481
1,371,12,2,242,2,242|2|722|482,B4_242_2_722_482
2,373,12,3,243,3,243|3|723|483,B4_243_3_723_483
3,375,12,4,244,4,244|4|724|484,B4_244_4_724_484
4,377,12,5,245,5,245|5|725|485,B4_245_5_725_485
5,379,12,6,246,6,246|6|726|486,B4_246_6_726_486
6,381,12,7,247,7,247|7|727|487,B4_247_7_727_487
7,383,12,8,248,8,248|8|728|488,B4_248_8_728_488
8,385,12,9,249,9,249|9|729|489,B4_249_9_729_489
9,387,12,10,250,10,250|10|730|490,B4_250_10_730_490
10,389,12,11,251,11,251|11|731|491,B4_251_11_731_491
11,391,12,12,252,12,252|12|732|492,B4_252_12_732_492
12,393,12,13,253,13,253|13|733|493,B4_253_13_733_493
13,395,12,14,254,14,254|14|734|494,B4_254_14_734_494
14,397,12,15,255,15,255|15|735|495,B4_255_15_735_495
15,399,12,16,256,16,256|16|736|496,B4_256_16_736_496
16,401,12,17,257,17,257|17|737|497,B4_257_17_737_497
17,403,12,18,258,18,258|18|738|498,B4_258_18_738_498
18,405,12,19,259,19,259|19|739|499,B4_259_19_739_499
19,407,12,20,260,20,260|20|740|500,B4_260_20_740_500
20,409,12,21,261,21,261|21|741|501,B4_261_21_741_501
21,411,12,22,262,22,262|22|742|502,B4_262_22_742_502
22,413,12,23,263,23,263|23|743|503,B4_263_23_743_503
23,415,12,24,264,24,264|24|744|504,B4_264_24_744_504
24,417,12,25,265,25,265|25|745|505,B4_265_25_745_505
25,419,12,26,266,26,266|26|746|506,B4_266_26_746_506
26,421,12,27,267,27,267|27|747|507,B4_267_27_747_507
27,423,12,28,268,28,268|28|748|508,B4_268_28_748_508
28,424,12,28,450,29,450|29|930|509,B4_450_29_930_509
29,422,12,27,449,30,449|30|929|510,B4_449_30_929_510
30,420,12,26,448,31,448|31|928|511,B4_448_31_928_511
31,418,12,25,447,32,447|32|927|512,B4_447_32_927_512
32,416,12,24,446,33,446|33|926|513,B4_446_33_926_513
33,414,12,23,445,34,445|34|925|514,B4_445_34_925_514
34,412,12,22,444,35,444|35|924|515,B4_444_35_924_515
35,410,12,21,443,36,443|36|923|516,B4_443_36_923_516
36,408,12,20,442,37,442|37|922|517,B4_442_37_922_517
37,406,12,19,441,38,441|38|921|518,B4_441_38_921_518
38,404,12,18,440,39,440|39|920|519,B4_440_39_920_519
39,402,12,17,439,40,439|40|919|520,B4_439_40_919_520
40,400,12,16,438,41,438|41|918|521,B4_438_41_918_521
41,398,12,15,437,42,437|42|917|522,B4_437_42_917_522
42,396,12,14,436,43,436|43|916|523,B4_436_43_916_523
43,394,12,13,435,44,435|44|915|524,B4_435_44_915_524
44,392,12,12,434,45,434|45|914|525,B4_434_45_914_525
45,390,12,11,433,46,433|46|913|526,B4_433_46_913_526
46,388,12,10,432,47,432|47|912|527,B4_432_47_912_527
47,386,12,9,431,48,431|48|911|528,B4_431_48_911_528
48,384,12,8,430,49,430|49|910|529,B4_430_49_910_529
49,382,12,7,429,50,429|50|909|530,B4_429_50_909_530
50,380,12,6,428,51,428|51|908|531,B4_428_51_908_531
51,378,12,5,427,52,427|52|907|532,B4_427_52_907_532
52,376,12,4,426,53,426|53|906|533,B4_426_53_906_533
53,374,12,3,425,54,425|54|905|534,B4_425_54_905_534
54,372,12,2,424,55,424|55|904|535,B4_424_55_904_535
55,370,12,1,423,56,423|56|903|536,B4_423_56_903_536
