s_id,label,class_id,order,q_family_tag,phase_sector_mod3,dominant_dp_left,dominant_dg_left,commute_rate_probe,assoc_nonzero_rate,probe_order_preserve_rate,family_transition_entropy
60,-1/2*e001 + -1/2*e010 + -1/2*e100 + -1/2*e101,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
61,-1/2*e001 + -1/2*e010 + -1/2*e100 + 1/2*e101,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
63,-1/2*e001 + -1/2*e010 + 1/2*e100 + 1/2*e101,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
65,-1/2*e001 + -1/2*e010 + 1/2*e011 + 1/2*e111,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
69,-1/2*e001 + -1/2*e011 + 1/2*e100 + 1/2*e110,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
70,-1/2*e001 + -1/2*e101 + -1/2*e110 + -1/2*e111,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
71,-1/2*e001 + 1/2*e101 + -1/2*e110 + -1/2*e111,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
72,-1/2*e001 + -1/2*e101 + -1/2*e110 + 1/2*e111,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
74,-1/2*e001 + -1/2*e101 + 1/2*e110 + -1/2*e111,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
76,-1/2*e001 + -1/2*e101 + 1/2*e110 + 1/2*e111,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
77,-1/2*e001 + 1/2*e101 + 1/2*e110 + 1/2*e111,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
79,-1/2*e001 + 1/2*e011 + -1/2*e100 + 1/2*e110,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
80,-1/2*e001 + 1/2*e011 + 1/2*e100 + -1/2*e110,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
83,-1/2*e001 + 1/2*e010 + -1/2*e011 + 1/2*e111,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
84,-1/2*e001 + 1/2*e010 + -1/2*e100 + -1/2*e101,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
85,-1/2*e001 + 1/2*e010 + -1/2*e100 + 1/2*e101,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
86,-1/2*e001 + 1/2*e010 + 1/2*e100 + -1/2*e101,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
91,-1/2*e010 + -1/2*e011 + -1/2*e101 + -1/2*e110,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
93,-1/2*e010 + -1/2*e011 + -1/2*e101 + 1/2*e110,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
94,-1/2*e010 + -1/2*e011 + 1/2*e101 + 1/2*e110,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
95,-1/2*e010 + -1/2*e100 + -1/2*e110 + -1/2*e111,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
96,-1/2*e010 + -1/2*e100 + -1/2*e110 + 1/2*e111,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
97,-1/2*e010 + -1/2*e100 + 1/2*e110 + -1/2*e111,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
99,-1/2*e010 + 1/2*e100 + -1/2*e110 + -1/2*e111,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
100,-1/2*e010 + 1/2*e100 + -1/2*e110 + 1/2*e111,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
102,-1/2*e010 + 1/2*e100 + 1/2*e110 + 1/2*e111,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
103,-1/2*e010 + 1/2*e011 + -1/2*e101 + -1/2*e110,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
104,-1/2*e010 + 1/2*e011 + 1/2*e101 + -1/2*e110,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
105,-1/2*e010 + 1/2*e011 + -1/2*e101 + 1/2*e110,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
108,-1/2*e011 + -1/2*e100 + -1/2*e101 + -1/2*e111,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
109,-1/2*e011 + -1/2*e100 + 1/2*e101 + -1/2*e111,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
110,-1/2*e011 + -1/2*e100 + -1/2*e101 + 1/2*e111,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
111,-1/2*e011 + -1/2*e100 + 1/2*e101 + 1/2*e111,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
112,-1/2*e011 + 1/2*e100 + -1/2*e101 + -1/2*e111,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
113,-1/2*e011 + 1/2*e100 + 1/2*e101 + -1/2*e111,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
114,-1/2*e011 + 1/2*e100 + -1/2*e101 + 1/2*e111,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
125,1/2*e011 + -1/2*e100 + 1/2*e101 + -1/2*e111,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
126,1/2*e011 + -1/2*e100 + -1/2*e101 + 1/2*e111,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
127,1/2*e011 + -1/2*e100 + 1/2*e101 + 1/2*e111,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
128,1/2*e011 + 1/2*e100 + -1/2*e101 + -1/2*e111,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
129,1/2*e011 + 1/2*e100 + 1/2*e101 + -1/2*e111,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
130,1/2*e011 + 1/2*e100 + -1/2*e101 + 1/2*e111,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
131,1/2*e011 + 1/2*e100 + 1/2*e101 + 1/2*e111,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
134,1/2*e010 + -1/2*e011 + 1/2*e101 + -1/2*e110,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
