s_id,label,phase_idx,phase_label,phase_angle_deg,phase_order,phase_sector_mod3,phase_sector_mod4,q_id,q_label,q_order,q_inverse_id,q_family_tag,q_g2_proxy_tag,q_support_size,q_support_mask_bin,q_has_e000,q_has_e111,order,inverse_sid,square_sid,cube_sid,neg_phase_sid,is_self_inverse,inner_conj_l_orbit_size,inner_conj_r_orbit_size,q_conj_l_rep,q_conj_r_rep,q_centralizer_size,s_centralizer_size,conj_class_id_l,conj_class_id_r,q_e000,q_e001,q_e010,q_e011,q_e100,q_e101,q_e110,q_e111,c_e000,c_e001,c_e010,c_e011,c_e100,c_e101,c_e110,c_e111
0,-1*e000,0,1,0.0,1,0,0,0,-1*e000,2,0,A16_basis_signed_unit,G2_proxy_scalar2,1,00000001,true,false,2,0,239,0,1440,true,1,1,0,0,240,2880,p0_ql0,p0_qr0,-1,0,0,0,0,0,0,0,-1*exp(i*0.0deg),0,0,0,0,0,0,0
1,-1/2*e000 + -1/2*e001 + -1/2*e010 + -1/2*e110,0,1,0.0,1,0,0,1,-1/2*e000 + -1/2*e001 + -1/2*e010 + -1/2*e110,3,56,B112_line_plus_e000_halfsum,G2_proxy_B112,4,01000111,true,false,3,56,56,239,1441,false,29,29,1,1,6,72,p0_ql1,p0_qr1,-1/2,-1/2,-1/2,0,0,0,-1/2,0,-1/2*exp(i*0.0deg),-1/2*exp(i*0.0deg),-1/2*exp(i*0.0deg),0,0,0,-1/2*exp(i*0.0deg),0
2,-1/2*e000 + -1/2*e001 + -1/2*e010 + 1/2*e110,0,1,0.0,1,0,0,2,-1/2*e000 + -1/2*e001 + -1/2*e010 + 1/2*e110,3,55,B112_line_plus_e000_halfsum,G2_proxy_B112,4,01000111,true,false,3,55,55,239,1442,false,29,29,2,2,6,72,p0_ql2,p0_qr2,-1/2,-1/2,-1/2,0,0,0,1/2,0,-1/2*exp(i*0.0deg),-1/2*exp(i*0.0deg),-1/2*exp(i*0.0deg),0,0,0,1/2*exp(i*0.0deg),0
3,-1/2*e000 + -1/2*e001 + -1/2*e011 + -1/2*e101,0,1,0.0,1,0,0,3,-1/2*e000 + -1/2*e001 + -1/2*e011 + -1/2*e101,3,54,B112_line_plus_e000_halfsum,G2_proxy_B112,4,00101011,true,false,3,54,54,239,1443,false,29,29,3,3,6,72,p0_ql3,p0_qr3,-1/2,-1/2,0,-1/2,0,-1/2,0,0,-1/2*exp(i*0.0deg),-1/2*exp(i*0.0deg),0,-1/2*exp(i*0.0deg),0,-1/2*exp(i*0.0deg),0,0
4,-1/2*e000 + -1/2*e001 + -1/2*e011 + 1/2*e101,0,1,0.0,1,0,0,4,-1/2*e000 + -1/2*e001 + -1/2*e011 + 1/2*e101,3,53,B112_line_plus_e000_halfsum,G2_proxy_B112,4,00101011,true,false,3,53,53,239,1444,false,29,29,4,4,6,72,p0_ql4,p0_qr4,-1/2,-1/2,0,-1/2,0,1/2,0,0,-1/2*exp(i*0.0deg),-1/2*exp(i*0.0deg),0,-1/2*exp(i*0.0deg),0,1/2*exp(i*0.0deg),0,0
5,-1/2*e000 + -1/2*e001 + -1/2*e100 + -1/2*e111,0,1,0.0,1,0,0,5,-1/2*e000 + -1/2*e001 + -1/2*e100 + -1/2*e111,3,52,B112_line_plus_e000_halfsum,G2_proxy_B112,4,10010011,true,true,3,52,52,239,1445,false,29,29,5,5,6,72,p0_ql5,p0_qr5,-1/2,-1/2,0,0,-1/2,0,0,-1/2,-1/2*exp(i*0.0deg),-1/2*exp(i*0.0deg),0,0,-1/2*exp(i*0.0deg),0,0,-1/2*exp(i*0.0deg)
6,-1/2*e000 + -1/2*e001 + -1/2*e100 + 1/2*e111,0,1,0.0,1,0,0,6,-1/2*e000 + -1/2*e001 + -1/2*e100 + 1/2*e111,3,51,B112_line_plus_e000_halfsum,G2_proxy_B112,4,10010011,true,true,3,51,51,239,1446,false,29,29,6,6,6,72,p0_ql6,p0_qr6,-1/2,-1/2,0,0,-1/2,0,0,1/2,-1/2*exp(i*0.0deg),-1/2*exp(i*0.0deg),0,0,-1/2*exp(i*0.0deg),0,0,1/2*exp(i*0.0deg)
7,-1/2*e000 + -1/2*e001 + 1/2*e100 + -1/2*e111,0,1,0.0,1,0,0,7,-1/2*e000 + -1/2*e001 + 1/2*e100 + -1/2*e111,3,50,B112_line_plus_e000_halfsum,G2_proxy_B112,4,10010011,true,true,3,50,50,239,1447,false,29,29,6,6,6,72,p0_ql6,p0_qr6,-1/2,-1/2,0,0,1/2,0,0,-1/2,-1/2*exp(i*0.0deg),-1/2*exp(i*0.0deg),0,0,1/2*exp(i*0.0deg),0,0,-1/2*exp(i*0.0deg)
8,-1/2*e000 + -1/2*e001 + 1/2*e100 + 1/2*e111,0,1,0.0,1,0,0,8,-1/2*e000 + -1/2*e001 + 1/2*e100 + 1/2*e111,3,49,B112_line_plus_e000_halfsum,G2_proxy_B112,4,10010011,true,true,3,49,49,239,1448,false,29,29,5,5,6,72,p0_ql5,p0_qr5,-1/2,-1/2,0,0,1/2,0,0,1/2,-1/2*exp(i*0.0deg),-1/2*exp(i*0.0deg),0,0,1/2*exp(i*0.0deg),0,0,1/2*exp(i*0.0deg)
9,-1/2*e000 + -1/2*e001 + 1/2*e011 + -1/2*e101,0,1,0.0,1,0,0,9,-1/2*e000 + -1/2*e001 + 1/2*e011 + -1/2*e101,3,48,B112_line_plus_e000_halfsum,G2_proxy_B112,4,00101011,true,false,3,48,48,239,1449,false,29,29,4,4,6,72,p0_ql4,p0_qr4,-1/2,-1/2,0,1/2,0,-1/2,0,0,-1/2*exp(i*0.0deg),-1/2*exp(i*0.0deg),0,1/2*exp(i*0.0deg),0,-1/2*exp(i*0.0deg),0,0
10,-1/2*e000 + -1/2*e001 + 1/2*e011 + 1/2*e101,0,1,0.0,1,0,0,10,-1/2*e000 + -1/2*e001 + 1/2*e011 + 1/2*e101,3,47,B112_line_plus_e000_halfsum,G2_proxy_B112,4,00101011,true,false,3,47,47,239,1450,false,29,29,3,3,6,72,p0_ql3,p0_qr3,-1/2,-1/2,0,1/2,0,1/2,0,0,-1/2*exp(i*0.0deg),-1/2*exp(i*0.0deg),0,1/2*exp(i*0.0deg),0,1/2*exp(i*0.0deg),0,0
11,-1/2*e000 + -1/2*e001 + 1/2*e010 + -1/2*e110,0,1,0.0,1,0,0,11,-1/2*e000 + -1/2*e001 + 1/2*e010 + -1/2*e110,3,46,B112_line_plus_e000_halfsum,G2_proxy_B112,4,01000111,true,false,3,46,46,239,1451,false,29,29,2,2,6,72,p0_ql2,p0_qr2,-1/2,-1/2,1/2,0,0,0,-1/2,0,-1/2*exp(i*0.0deg),-1/2*exp(i*0.0deg),1/2*exp(i*0.0deg),0,0,0,-1/2*exp(i*0.0deg),0
