lane,priority_rank,q_id
photon_lane,1,239
photon_lane,2,0
photon_lane,3,4
photon_lane,4,9
photon_lane,5,22
photon_lane,6,35
photon_lane,7,48
photon_lane,8,53
photon_lane,9,186
photon_lane,10,191
photon_lane,11,204
photon_lane,12,217
neutrino_lane,1,0
neutrino_lane,2,239
neutrino_lane,3,57
neutrino_lane,4,182
neutrino_lane,5,107
neutrino_lane,6,117
neutrino_lane,7,118
neutrino_lane,8,119
neutrino_lane,9,120
neutrino_lane,10,121
neutrino_lane,11,122
neutrino_lane,12,132
electron_lane,1,186
electron_lane,2,191
electron_lane,3,204
electron_lane,4,217
electron_lane,5,230
electron_lane,6,235
electron_lane,7,184
electron_lane,8,185
electron_lane,9,187
electron_lane,10,189
electron_lane,11,190
electron_lane,12,192
electron_lane,13,193
electron_lane,14,196
electron_lane,15,225
electron_lane,16,228
electron_lane,17,229
electron_lane,18,231
electron_lane,19,232
electron_lane,20,234
quark_lane,1,16
quark_lane,2,17
quark_lane,3,19
quark_lane,4,26
quark_lane,5,31
quark_lane,6,38
quark_lane,7,40
quark_lane,8,41
quark_lane,9,1
quark_lane,10,18
quark_lane,11,20
quark_lane,12,25
quark_lane,13,27
quark_lane,14,28
quark_lane,15,29
quark_lane,16,30
quark_lane,17,32
quark_lane,18,37
quark_lane,19,39
quark_lane,20,56
quark_lane,21,6
quark_lane,22,12
quark_lane,23,13
quark_lane,24,15
mediator_lane,1,16
mediator_lane,2,17
mediator_lane,3,19
mediator_lane,4,26
mediator_lane,5,31
mediator_lane,6,38
mediator_lane,7,40
mediator_lane,8,41
mediator_lane,9,60
mediator_lane,10,61
mediator_lane,11,63
mediator_lane,12,65
mediator_lane,13,69
mediator_lane,14,70
mediator_lane,15,71
mediator_lane,16,72
mediator_lane,17,74
mediator_lane,18,76
mediator_lane,19,77
mediator_lane,20,79
mediator_lane,21,80
mediator_lane,22,83
mediator_lane,23,84
mediator_lane,24,85
crossmix_lane,1,60
crossmix_lane,2,61
crossmix_lane,3,63
crossmix_lane,4,65
crossmix_lane,5,69
crossmix_lane,6,70
crossmix_lane,7,71
crossmix_lane,8,72
crossmix_lane,9,74
crossmix_lane,10,76
crossmix_lane,11,77
crossmix_lane,12,79
crossmix_lane,13,80
crossmix_lane,14,83
crossmix_lane,15,84
crossmix_lane,16,85
crossmix_lane,17,86
crossmix_lane,18,91
crossmix_lane,19,93
crossmix_lane,20,94
crossmix_lane,21,95
crossmix_lane,22,96
crossmix_lane,23,97
crossmix_lane,24,99
