s_id,label,class_id,phase_idx,q_id,order,q_order,q_family_tag,commute_rate_probe,assoc_nonzero_rate,probe_order_preserve_rate,family_transition_entropy,score_photon_like,score_neutrino_like,score_electron_like,score_quark_core_like,score_mediator_w_like,score_unstable_crossmix_like,top_role_1,top_role_1_score,top_role_2,top_role_2_score,top_role_3,top_role_3_score
0,-1*e000,SC0182,0,0,2,2,A16_basis_signed_unit,1.0,0.0,0.703125,0.5435644431995964,0.35,0.8,0.390625,0.0,0.059375000000000004,0.09334777769997478,neutrino_like,0.8,electron_like,0.390625,photon_like,0.35
1,-1/2*e000 + -1/2*e001 + -1/2*e010 + -1/2*e110,SC0073,0,1,3,3,B112_line_plus_e000_halfsum,0.046875,0.8125,0.5364583333333334,1.8024212838293643,0.0375,0.05859375,0.5869791666666666,0.9437500000000001,0.25520833333333337,0.6873909135726686,quark_core_like,0.9437500000000001,unstable_crossmix_like,0.6873909135726686,electron_like,0.5869791666666666
2,-1/2*e000 + -1/2*e001 + -1/2*e010 + 1/2*e110,SC0052,0,2,3,3,B112_line_plus_e000_halfsum,0.046875,0.6875,0.5364583333333334,1.8024212838293643,0.05625,0.08984375,0.6369791666666667,0.9125000000000001,0.23020833333333335,0.6498909135726687,quark_core_like,0.9125000000000001,unstable_crossmix_like,0.6498909135726687,electron_like,0.6369791666666667
3,-1/2*e000 + -1/2*e001 + -1/2*e011 + -1/2*e101,SC0052,0,3,3,3,B112_line_plus_e000_halfsum,0.046875,0.6875,0.5364583333333334,1.8024212838293643,0.05625,0.08984375,0.6369791666666667,0.9125000000000001,0.23020833333333335,0.6498909135726687,quark_core_like,0.9125000000000001,unstable_crossmix_like,0.6498909135726687,electron_like,0.6369791666666667
4,-1/2*e000 + -1/2*e001 + -1/2*e011 + 1/2*e101,SC0118,0,4,3,3,B112_line_plus_e000_halfsum,0.046875,0.625,0.5364583333333334,1.8024212838293643,0.06562499999999999,0.10546875,0.6619791666666667,0.8968750000000001,0.21770833333333334,0.6311409135726687,quark_core_like,0.8968750000000001,electron_like,0.6619791666666667,unstable_crossmix_like,0.6311409135726687
5,-1/2*e000 + -1/2*e001 + -1/2*e100 + -1/2*e111,SC0052,0,5,3,3,B112_line_plus_e000_halfsum,0.046875,0.6875,0.5364583333333334,1.8024212838293643,0.05625,0.08984375,0.6369791666666667,0.9125000000000001,0.23020833333333335,0.6498909135726687,quark_core_like,0.9125000000000001,unstable_crossmix_like,0.6498909135726687,electron_like,0.6369791666666667
6,-1/2*e000 + -1/2*e001 + -1/2*e100 + 1/2*e111,SC0067,0,6,3,3,B112_line_plus_e000_halfsum,0.046875,0.75,0.5364583333333334,1.8024212838293643,0.046875,0.07421875,0.6119791666666666,0.9281250000000001,0.24270833333333336,0.6686409135726685,quark_core_like,0.9281250000000001,unstable_crossmix_like,0.6686409135726685,electron_like,0.6119791666666666
7,-1/2*e000 + -1/2*e001 + 1/2*e100 + -1/2*e111,SC0052,0,7,3,3,B112_line_plus_e000_halfsum,0.046875,0.6875,0.5364583333333334,1.8024212838293643,0.05625,0.08984375,0.6369791666666667,0.9125000000000001,0.23020833333333335,0.6498909135726687,quark_core_like,0.9125000000000001,unstable_crossmix_like,0.6498909135726687,electron_like,0.6369791666666667
8,-1/2*e000 + -1/2*e001 + 1/2*e100 + 1/2*e111,SC0052,0,8,3,3,B112_line_plus_e000_halfsum,0.046875,0.6875,0.5364583333333334,1.8024212838293643,0.05625,0.08984375,0.6369791666666667,0.9125000000000001,0.23020833333333335,0.6498909135726687,quark_core_like,0.9125000000000001,unstable_crossmix_like,0.6498909135726687,electron_like,0.6369791666666667
9,-1/2*e000 + -1/2*e001 + 1/2*e011 + -1/2*e101,SC0118,0,9,3,3,B112_line_plus_e000_halfsum,0.046875,0.625,0.5364583333333334,1.8024212838293643,0.06562499999999999,0.10546875,0.6619791666666667,0.8968750000000001,0.21770833333333334,0.6311409135726687,quark_core_like,0.8968750000000001,electron_like,0.6619791666666667,unstable_crossmix_like,0.6311409135726687
