class_id,count,order,q_family_tag,q_g2_proxy_tag,phase_sector_mod3,phase_sector_mod4,inner_conj_l_orbit_size,inner_conj_r_orbit_size,q_centralizer_size,dominant_dp_left,dominant_dg_left,commute_rate_probe_mean,assoc_nonzero_rate_mean,probe_order_preserve_rate_mean,family_transition_entropy_mean,member_sids
SC0001,72,4,C112_complement_halfsum,G2_proxy_C112,0,0,46,46,4,0,0,0.015625,0.875,0.5520833333333334,1.8024212838293643,60|61|63|65|69|70|71|72|74|76|77|79|80|83|84|85|86|91|93|94|95|96|97|99|100|102|103|104|105|108|109|110|111|112|113|114|125|126|127|128|129|130|131|134|135|136|137|139|140|142|143|144|145|146|148|153|154|155|156|159|160|162|163|165|167|168|169|170|174|176|178|179
SC0002,72,4,C112_complement_halfsum,G2_proxy_C112,0,1,46,46,4,9,0,0.015625,0.875,0.23958333333333334,1.8024212838293643,2220|2221|2223|2225|2229|2230|2231|2232|2234|2236|2237|2239|2240|2243|2244|2245|2246|2251|2253|2254|2255|2256|2257|2259|2260|2262|2263|2264|2265|2268|2269|2270|2271|2272|2273|2274|2285|2286|2287|2288|2289|2290|2291|2294|2295|2296|2297|2299|2300|2302|2303|2304|2305|2306|2308|2313|2314|2315|2316|2319|2320|2322|2323|2325|2327|2328|2329|2330|2334|2336|2338|2339
SC0003,72,4,C112_complement_halfsum,G2_proxy_C112,0,2,46,46,4,6,0,0.015625,0.875,0.4895833333333333,1.8024212838293643,1500|1501|1503|1505|1509|1510|1511|1512|1514|1516|1517|1519|1520|1523|1524|1525|1526|1531|1533|1534|1535|1536|1537|1539|1540|1542|1543|1544|1545|1548|1549|1550|1551|1552|1553|1554|1565|1566|1567|1568|1569|1570|1571|1574|1575|1576|1577|1579|1580|1582|1583|1584|1585|1586|1588|1593|1594|1595|1596|1599|1600|1602|1603|1605|1607|1608|1609|1610|1614|1616|1618|1619
SC0004,72,4,C112_complement_halfsum,G2_proxy_C112,0,3,46,46,4,3,0,0.015625,0.875,0.23958333333333334,1.8024212838293643,780|781|783|785|789|790|791|792|794|796|797|799|800|803|804|805|806|811|813|814|815|816|817|819|820|822|823|824|825|828|829|830|831|832|833|834|845|846|847|848|849|850|851|854|855|856|857|859|860|862|863|864|865|866|868|873|874|875|876|879|880|882|883|885|887|888|889|890|894|896|898|899
SC0005,72,12,C112_complement_halfsum,G2_proxy_C112,1,0,46,46,4,4,1,0.015625,0.875,0.5208333333333334,1.8024212838293643,1020|1021|1023|1025|1029|1030|1031|1032|1034|1036|1037|1039|1040|1043|1044|1045|1046|1051|1053|1054|1055|1056|1057|1059|1060|1062|1063|1064|1065|1068|1069|1070|1071|1072|1073|1074|1085|1086|1087|1088|1089|1090|1091|1094|1095|1096|1097|1099|1100|1102|1103|1104|1105|1106|1108|1113|1114|1115|1116|1119|1120|1122|1123|1125|1127|1128|1129|1130|1134|1136|1138|1139
SC0006,72,12,C112_complement_halfsum,G2_proxy_C112,1,1,46,46,4,1,1,0.015625,0.875,0.20833333333333334,1.8024212838293643,300|301|303|305|309|310|311|312|314|316|317|319|320|323|324|325|326|331|333|334|335|336|337|339|340|342|343|344|345|348|349|350|351|352|353|354|365|366|367|368|369|370|371|374|375|376|377|379|380|382|383|384|385|386|388|393|394|395|396|399|400|402|403|405|407|408|409|410|414|416|418|419
SC0007,72,12,C112_complement_halfsum,G2_proxy_C112,1,2,46,46,4,10,1,0.015625,0.875,0.4583333333333333,1.8024212838293643,2460|2461|2463|2465|2469|2470|2471|2472|2474|2476|2477|2479|2480|2483|2484|2485|2486|2491|2493|2494|2495|2496|2497|2499|2500|2502|2503|2504|2505|2508|2509|2510|2511|2512|2513|2514|2525|2526|2527|2528|2529|2530|2531|2534|2535|2536|2537|2539|2540|2542|2543|2544|2545|2546|2548|2553|2554|2555|2556|2559|2560|2562|2563|2565|2567|2568|2569|2570|2574|2576|2578|2579
SC0008,72,12,C112_complement_halfsum,G2_proxy_C112,1,3,46,46,4,7,1,0.015625,0.875,0.20833333333333334,1.8024212838293643,1740|1741|1743|1745|1749|1750|1751|1752|1754|1756|1757|1759|1760|1763|1764|1765|1766|1771|1773|1774|1775|1776|1777|1779|1780|1782|1783|1784|1785|1788|1789|1790|1791|1792|1793|1794|1805|1806|1807|1808|1809|1810|1811|1814|1815|1816|1817|1819|1820|1822|1823|1824|1825|1826|1828|1833|1834|1835|1836|1839|1840|1842|1843|1845|1847|1848|1849|1850|1854|1856|1858|1859
SC0009,72,12,C112_complement_halfsum,G2_proxy_C112,2,0,46,46,4,8,2,0.015625,0.875,0.3489583333333333,1.8024212838293643,1980|1981|1983|1985|1989|1990|1991|1992|1994|1996|1997|1999|2000|2003|2004|2005|2006|2011|2013|2014|2015|2016|2017|2019|2020|2022|2023|2024|2025|2028|2029|2030|2031|2032|2033|2034|2045|2046|2047|2048|2049|2050|2051|2054|2055|2056|2057|2059|2060|2062|2063|2064|2065|2066|2068|2073|2074|2075|2076|2079|2080|2082|2083|2085|2087|2088|2089|2090|2094|2096|2098|2099
SC0010,72,12,C112_complement_halfsum,G2_proxy_C112,2,1,46,46,4,5,2,0.015625,0.875,0.036458333333333336,1.8024212838293643,1260|1261|1263|1265|1269|1270|1271|1272|1274|1276|1277|1279|1280|1283|1284|1285|1286|1291|1293|1294|1295|1296|1297|1299|1300|1302|1303|1304|1305|1308|1309|1310|1311|1312|1313|1314|1325|1326|1327|1328|1329|1330|1331|1334|1335|1336|1337|1339|1340|1342|1343|1344|1345|1346|1348|1353|1354|1355|1356|1359|1360|1362|1363|1365|1367|1368|1369|1370|1374|1376|1378|1379
