run_id,channel_id,role,phase_id,initial_edge_distance,depth_horizon,interaction_event_count,final_distance_future,distance_delta_total,distance_change_depth_count,run_checksum
electron_electron__phase00__d5,electron_electron,signal,phase00,5,120,4,289,284,116,a7f186f79dfce2db12a0d15ef9c94af6fb7e4dcd135d8dc879b246b0dd893e48
electron_electron__phase00__d7,electron_electron,signal,phase00,7,120,4,265,258,114,d31858a4ef1e204383639878dc532953a51645f8f94f337690aabf955e0cccef
electron_electron__phase00__d9,electron_electron,signal,phase00,9,120,4,241,232,112,14d342555337db184197ecda6791b4d484363886624532cf29ec5acd6f8057d4
electron_electron__phase01__d5,electron_electron,signal,phase01,5,120,24,5,0,0,7effdd6021c5ee007c6dadeb79234287ef47478d261f2fee95906a0c9ad36345
electron_electron__phase01__d7,electron_electron,signal,phase01,7,120,17,7,0,0,0bd7e808f907d1ef9468f137f2011a6a62de5bc57a6a34767d89fb42bf9542f9
electron_electron__phase01__d9,electron_electron,signal,phase01,9,120,13,9,0,0,f3c097da0fdf301370306724b64e84d35abf42a65cd601c7313c92ffb5513bbf
electron_electron__phase10__d5,electron_electron,signal,phase10,5,120,24,5,0,0,5a139a37dcc0ca0215cb1466e6861f200d640caf3dfb4c0da10e37507d6a1d1d
electron_electron__phase10__d7,electron_electron,signal,phase10,7,120,17,7,0,0,71d6776f32dc5adab271573eb62e4d5d5bceecf0407e89344bc4a4bd63bc767d
electron_electron__phase10__d9,electron_electron,signal,phase10,9,120,13,9,0,0,b3a71ef9168c5b1e545407b3a146119b246e5a8784ebe6829d656f58e6256794
electron_electron__phase11__d5,electron_electron,signal,phase11,5,120,5,274,269,111,90a19ee5daa080e39c21d6c307a26c56d7ea3b6e1055b51134b9f937a81d7ceb
electron_electron__phase11__d7,electron_electron,signal,phase11,7,120,5,244,237,107,68c01eb52b9df693000e7add4e2777dcafec1ae86476465951c6acd2c2197b8e
electron_electron__phase11__d9,electron_electron,signal,phase11,9,120,5,214,205,103,cb7f36bea95dc5ff08a37d990cf440c87272bdef9a83718b7dd1d5baccaa0596
electron_identity_control__phase00__d5,electron_identity_control,control,phase00,5,120,24,5,0,0,4f45efc6e605ff1e57e098df2e315903c4dde471b6e500703fe3ca61dbea0806
electron_identity_control__phase00__d7,electron_identity_control,control,phase00,7,120,17,7,0,0,8b6f494dbad1150e6c405c0d4ac4bfa5e900e249fb26c87d7df60ccdae40c0c1
electron_identity_control__phase00__d9,electron_identity_control,control,phase00,9,120,13,9,0,0,b6682a66d31a7ed301f118bf4ae001f90dacc6ada89ca161fd42511121df2149
electron_identity_control__phase01__d5,electron_identity_control,control,phase01,5,120,113,1,-4,4,9c772026f99d9d9d45f17f02b8e1d56a33fc34e3c57a1521e27bc18baf40dc8f
electron_identity_control__phase01__d7,electron_identity_control,control,phase01,7,120,109,1,-6,6,e9c81c653500716c4fbf72e96ef2208d6d8fefc98e7154dcbc921e346cb72d95
electron_identity_control__phase01__d9,electron_identity_control,control,phase01,9,120,105,1,-8,8,9da81ec848010fdda825b058e40c4bb1d005b9762cb40f948067f70ab8b9ea69
electron_identity_control__phase10__d5,electron_identity_control,control,phase10,5,120,5,274,269,111,fb60b8e50cb1d198c4bef40a6659846badc5a41fbd4fee1d80bb985aa886f159
electron_identity_control__phase10__d7,electron_identity_control,control,phase10,7,120,5,244,237,107,990186d498f42abb471a31b060310e599c96fcc7518722a07af6e1b38848c1c0
electron_identity_control__phase10__d9,electron_identity_control,control,phase10,9,120,5,214,205,103,fe18263870d6cdf49be7c72217068de1de5a5626ef1ed17f11a66ebdbdc343db
electron_identity_control__phase11__d5,electron_identity_control,control,phase11,5,120,24,5,0,0,7d584c01f0ff72182e25f0b6bf992022942d1cd7eeafa815d862b2b7debebb4f
electron_identity_control__phase11__d7,electron_identity_control,control,phase11,7,120,17,7,0,0,8705143c18abc4fb550eaab4c5f573e2beb4a2213919dd9f5abf7901be8dd19f
electron_identity_control__phase11__d9,electron_identity_control,control,phase11,9,120,13,9,0,0,fd155f85d80911bf5d78145440e8c058f65564daf993ab6117ce141d941ab2a9
electron_positron__phase00__d5,electron_positron,signal,phase00,5,120,113,1,-4,4,1b060ab163caf234f7a2d6eedc1f8b5f3d8f43a0a2e69191aa8f85af5b32f766
electron_positron__phase00__d7,electron_positron,signal,phase00,7,120,109,1,-6,6,fa6fa448264f3224b38325b282e57761da37ef189c92519fd35abab5813c8a3c
electron_positron__phase00__d9,electron_positron,signal,phase00,9,120,105,1,-8,8,b79cfb118173ada09ce5d81a29466fcf7fd9d7ea5f1b083c129b8ffb14902f00
electron_positron__phase01__d5,electron_positron,signal,phase01,5,120,24,5,0,0,2459235d72a7e18c840bf20e489b06c83c466994810d244226afc852d01e98c9
electron_positron__phase01__d7,electron_positron,signal,phase01,7,120,17,7,0,0,a4fd5c91b1a1c7ae1fc78f8922aff0e5dd9fe8f5bf5a120a8969680aa6d58a71
electron_positron__phase01__d9,electron_positron,signal,phase01,9,120,13,9,0,0,40a8e8e8a26e4ff4a2693e5a30c7bd6b11a3e56299fa24a2f24c283f1d04d9c6
electron_positron__phase10__d5,electron_positron,signal,phase10,5,120,24,5,0,0,f01814413c1bed2a630e2aaaf027f75ee4f4d9cb58831e5a0c3eb4016419d77d
electron_positron__phase10__d7,electron_positron,signal,phase10,7,120,17,7,0,0,e064cb586ada15885a054619660a2689c45510178eae7acabe27806687d44618
electron_positron__phase10__d9,electron_positron,signal,phase10,9,120,13,9,0,0,f5e7e01654b02d4a0bb87ad4c1fddcf7d891701ffc763240ec4238ab44756b2b
electron_positron__phase11__d5,electron_positron,signal,phase11,5,120,109,1,-4,4,a485a3e4a50b83d067a86bc2135aee584e78819333027acc9336d3a952169ce1
electron_positron__phase11__d7,electron_positron,signal,phase11,7,120,103,1,-6,6,14ce1ab0f966ee22801e3fcd39502d8794edf5b7eadcdb977e650825ca78c3b5
electron_positron__phase11__d9,electron_positron,signal,phase11,9,120,97,1,-8,8,113d5340a9b3bfd9077a6d2ab7e6fec1eb61279a31cf74f01e5f6b5c88a42bf8
