case_id,depth,pos,contributor_count,interaction_observed,u1_charge_base8,state_base8
electron_electron,0,0,0,False,-10,"[[""0"",""-10""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""-10"",""0""]]"
electron_electron,0,1,0,False,0,"[[""1"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""1""]]"
electron_electron,0,2,0,False,0,"[[""1"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""1""]]"
electron_electron,0,3,0,False,0,"[[""1"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""1""]]"
electron_electron,0,4,0,False,0,"[[""1"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""1""]]"
electron_electron,0,5,0,False,-10,"[[""0"",""-10""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""-10"",""0""]]"
electron_electron,1,-1,1,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,1,0,1,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,1,1,2,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,1,2,2,True,4,"[[""0"",""-4""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""4"",""0""]]"
electron_electron,1,3,2,True,4,"[[""0"",""-4""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""4"",""0""]]"
electron_electron,1,4,2,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,1,5,1,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,1,6,1,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,2,-2,2,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,2,-1,2,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,2,0,4,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,2,1,4,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,2,2,5,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,2,3,5,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,2,4,4,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,2,5,4,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,2,6,2,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,2,7,2,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,3,-3,3,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,3,-2,3,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,3,-1,6,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,3,0,6,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,3,1,8,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,3,2,8,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,3,3,8,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,3,4,8,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,3,5,6,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,3,6,6,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,3,7,3,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,3,8,3,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,4,-4,4,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,4,-3,4,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,4,-2,8,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,4,-1,8,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,4,0,11,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,4,1,11,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,4,2,12,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,4,3,12,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
electron_electron,4,4,11,True,0,"[[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""],[""0"",""0""]]"
