case_id,depth,distance_past,distance_future,distance_delta,distance_changed,ticks_until_next_interaction,interaction_occurred,interaction_kind,edge_depth_since_last_interaction,edge_depth_until_next_interaction,interaction_count,left_u1_charge_base8,right_u1_charge_base8
electron_electron,0,5,5,0,False,5,False,,,5,0,-10,-10
electron_electron,1,5,5,0,False,4,False,,,4,0,0,0
electron_electron,2,5,5,0,False,3,False,,,3,0,10,10
electron_electron,3,5,5,0,False,2,False,,,2,0,0,0
electron_electron,4,5,5,0,False,1,False,,,1,0,-10,-10
electron_electron,5,5,6,1,True,6,True,repulsive,5,6,1,0,0
electron_electron,6,6,7,1,True,5,False,,1,5,1,10,10
electron_electron,7,7,8,1,True,4,False,,2,4,1,0,0
electron_electron,8,8,9,1,True,3,False,,3,3,1,-10,-10
electron_electron,9,9,10,1,True,2,False,,4,2,1,0,0
electron_electron,10,10,11,1,True,1,False,,5,1,1,10,10
electron_electron,11,11,13,2,True,13,True,repulsive,6,13,2,0,0
electron_electron,12,13,15,2,True,12,False,,1,12,2,-10,-10
electron_electron,13,15,17,2,True,11,False,,2,11,2,0,0
electron_electron,14,17,19,2,True,10,False,,3,10,2,10,10
electron_electron,15,19,21,2,True,9,False,,4,9,2,0,0
electron_electron,16,21,23,2,True,8,False,,5,8,2,-10,-10
electron_electron,17,23,25,2,True,7,False,,6,7,2,0,0
electron_electron,18,25,27,2,True,6,False,,7,6,2,10,10
electron_electron,19,27,29,2,True,5,False,,8,5,2,0,0
electron_electron,20,29,31,2,True,4,False,,9,4,2,-10,-10
electron_electron,21,31,33,2,True,3,False,,10,3,2,0,0
electron_electron,22,33,35,2,True,2,False,,11,2,2,10,10
electron_electron,23,35,37,2,True,1,False,,12,1,2,0,0
electron_electron,24,37,39,2,True,39,True,neutral,13,39,3,-10,-10
electron_electron,25,39,41,2,True,38,False,,1,38,3,0,0
electron_electron,26,41,43,2,True,37,False,,2,37,3,10,10
electron_electron,27,43,45,2,True,36,False,,3,36,3,0,0
electron_electron,28,45,47,2,True,35,False,,4,35,3,-10,-10
electron_electron,29,47,49,2,True,34,False,,5,34,3,0,0
electron_electron,30,49,51,2,True,33,False,,6,33,3,10,10
electron_electron,31,51,53,2,True,32,False,,7,32,3,0,0
electron_electron,32,53,55,2,True,31,False,,8,31,3,-10,-10
electron_electron,33,55,57,2,True,30,False,,9,30,3,0,0
electron_electron,34,57,59,2,True,29,False,,10,29,3,10,10
electron_electron,35,59,61,2,True,28,False,,11,28,3,0,0
electron_electron,36,61,63,2,True,27,False,,12,27,3,-10,-10
electron_electron,37,63,65,2,True,26,False,,13,26,3,0,0
electron_electron,38,65,67,2,True,25,False,,14,25,3,10,10
electron_electron,39,67,69,2,True,24,False,,15,24,3,0,0
electron_electron,40,69,71,2,True,23,False,,16,23,3,-10,-10
electron_positron,0,5,5,0,False,5,False,,,5,0,-10,10
electron_positron,1,5,5,0,False,4,False,,,4,0,0,0
electron_positron,2,5,5,0,False,3,False,,,3,0,10,-10
electron_positron,3,5,5,0,False,2,False,,,2,0,0,0
electron_positron,4,5,5,0,False,1,False,,,1,0,-10,10
electron_positron,5,5,4,-1,True,4,True,attractive,5,4,1,0,0
electron_positron,6,4,3,-1,True,3,False,,1,3,1,10,-10
electron_positron,7,3,2,-1,True,2,False,,2,2,1,0,0
electron_positron,8,2,1,-1,True,1,False,,3,1,1,-10,10
electron_positron,9,1,1,0,False,1,True,attractive,4,1,2,0,0
electron_positron,10,1,1,0,False,1,True,neutral,1,1,3,10,-10
electron_positron,11,1,1,0,False,1,True,attractive,1,1,4,0,0
electron_positron,12,1,1,0,False,1,True,neutral,1,1,5,-10,10
electron_positron,13,1,1,0,False,1,True,attractive,1,1,6,0,0
electron_positron,14,1,1,0,False,1,True,neutral,1,1,7,10,-10
electron_positron,15,1,1,0,False,1,True,attractive,1,1,8,0,0
electron_positron,16,1,1,0,False,1,True,neutral,1,1,9,-10,10
electron_positron,17,1,1,0,False,1,True,attractive,1,1,10,0,0
electron_positron,18,1,1,0,False,1,True,neutral,1,1,11,10,-10
electron_positron,19,1,1,0,False,1,True,attractive,1,1,12,0,0
electron_positron,20,1,1,0,False,1,True,neutral,1,1,13,-10,10
electron_positron,21,1,1,0,False,1,True,attractive,1,1,14,0,0
electron_positron,22,1,1,0,False,1,True,neutral,1,1,15,10,-10
electron_positron,23,1,1,0,False,1,True,attractive,1,1,16,0,0
electron_positron,24,1,1,0,False,1,True,neutral,1,1,17,-10,10
electron_positron,25,1,1,0,False,1,True,attractive,1,1,18,0,0
electron_positron,26,1,1,0,False,1,True,neutral,1,1,19,10,-10
electron_positron,27,1,1,0,False,1,True,attractive,1,1,20,0,0
electron_positron,28,1,1,0,False,1,True,neutral,1,1,21,-10,10
electron_positron,29,1,1,0,False,1,True,attractive,1,1,22,0,0
electron_positron,30,1,1,0,False,1,True,neutral,1,1,23,10,-10
electron_positron,31,1,1,0,False,1,True,attractive,1,1,24,0,0
electron_positron,32,1,1,0,False,1,True,neutral,1,1,25,-10,10
electron_positron,33,1,1,0,False,1,True,attractive,1,1,26,0,0
electron_positron,34,1,1,0,False,1,True,neutral,1,1,27,10,-10
electron_positron,35,1,1,0,False,1,True,attractive,1,1,28,0,0
electron_positron,36,1,1,0,False,1,True,neutral,1,1,29,-10,10
electron_positron,37,1,1,0,False,1,True,attractive,1,1,30,0,0
electron_positron,38,1,1,0,False,1,True,neutral,1,1,31,10,-10
electron_positron,39,1,1,0,False,1,True,attractive,1,1,32,0,0
electron_positron,40,1,1,0,False,1,True,neutral,1,1,33,-10,10
