case_id,edge_distance,steps,phase_offset,preconditioning_ticks,overlap_start_tick,stage,stage_tick,global_tick,overlap_started,overlap_node_count,phase_jump_sum,photon_coupling_rate
alpha_case_18,12,24,2,0,6,measure,1,1,False,0,0,0.0
alpha_case_18,12,24,2,0,6,measure,2,2,False,0,0,0.0
alpha_case_18,12,24,2,0,6,measure,3,3,False,0,0,0.0
alpha_case_18,12,24,2,0,6,measure,4,4,False,0,0,0.0
alpha_case_18,12,24,2,0,6,measure,5,5,False,0,0,0.0
alpha_case_18,12,24,2,0,6,measure,6,6,True,1,0,0.0
alpha_case_18,12,24,2,0,6,measure,7,7,True,3,0,0.0
alpha_case_18,12,24,2,0,6,measure,8,8,True,5,0,0.0
alpha_case_18,12,24,2,0,6,measure,9,9,True,7,0,0.0
alpha_case_18,12,24,2,0,6,measure,10,10,True,9,0,0.0
alpha_case_18,12,24,2,0,6,measure,11,11,True,11,0,0.0
alpha_case_18,12,24,2,0,6,measure,12,12,True,13,0,0.0
alpha_case_18,12,24,2,0,6,measure,13,13,True,15,0,0.0
alpha_case_18,12,24,2,0,6,measure,14,14,True,17,0,0.0
alpha_case_18,12,24,2,0,6,measure,15,15,True,19,0,0.0
alpha_case_18,12,24,2,0,6,measure,16,16,True,21,0,0.0
alpha_case_18,12,24,2,0,6,measure,17,17,True,23,0,0.0
alpha_case_18,12,24,2,0,6,measure,18,18,True,25,0,0.0
alpha_case_18,12,24,2,0,6,measure,19,19,True,27,4,0.018518518518518517
alpha_case_18,12,24,2,0,6,measure,20,20,True,29,4,0.017241379310344827
alpha_case_18,12,24,2,0,6,measure,21,21,True,31,8,0.03225806451612903
alpha_case_18,12,24,2,0,6,measure,22,22,True,33,12,0.045454545454545456
alpha_case_18,12,24,2,0,6,measure,23,23,True,35,16,0.05714285714285714
alpha_case_18,12,24,2,0,6,measure,24,24,True,37,16,0.05405405405405406
