case_id,edge_distance,steps,phase_offset,preconditioning_ticks,overlap_start_tick,stage,stage_tick,global_tick,overlap_started,overlap_node_count,phase_jump_sum,photon_coupling_rate
alpha_case_00,4,8,0,1,2,precondition,1,1,False,0,0,0.0
alpha_case_00,4,8,0,1,2,measure,1,2,True,1,0,0.0
alpha_case_00,4,8,0,1,2,measure,2,3,True,3,0,0.0
alpha_case_00,4,8,0,1,2,measure,3,4,True,5,0,0.0
alpha_case_00,4,8,0,1,2,measure,4,5,True,7,0,0.0
alpha_case_00,4,8,0,1,2,measure,5,6,True,9,0,0.0
alpha_case_00,4,8,0,1,2,measure,6,7,True,11,4,0.045454545454545456
alpha_case_00,4,8,0,1,2,measure,7,8,True,13,4,0.038461538461538464
alpha_case_00,4,8,0,1,2,measure,8,9,True,15,12,0.1
alpha_case_01,4,8,1,1,2,precondition,1,1,False,0,0,0.0
alpha_case_01,4,8,1,1,2,measure,1,2,True,1,0,0.0
alpha_case_01,4,8,1,1,2,measure,2,3,True,3,8,0.3333333333333333
alpha_case_01,4,8,1,1,2,measure,3,4,True,5,8,0.2
alpha_case_01,4,8,1,1,2,measure,4,5,True,7,0,0.0
alpha_case_01,4,8,1,1,2,measure,5,6,True,9,8,0.1111111111111111
alpha_case_01,4,8,1,1,2,measure,6,7,True,11,12,0.13636363636363635
alpha_case_01,4,8,1,1,2,measure,7,8,True,13,28,0.2692307692307692
alpha_case_01,4,8,1,1,2,measure,8,9,True,15,12,0.1
